name	x	y	z	material
FC3	-0.06185234453174111	0.057133289447271314	0.09376582882952603	active electrode
FCz	-0.0012714337533993952	0.06345979225353343	0.12657198384237547	active electrode
FC4	0.060625474352247244	0.05770741653090674	0.09379461804488445	active electrode
C5	-0.08208530618179086	0.019293632972432445	0.0694896677281912	active electrode
C3	-0.06714873038365092	0.023358234962598565	0.10451068106025274	active electrode
C1	-0.037937831285299435	0.026337454328592032	0.12977060888830635	active electrode
Cz	-0.0013741408533525957	0.027617093717945417	0.1401994941744	active electrode
C2	0.035892709469692044	0.026358135962367156	0.12841234097161527	active electrode
C4	0.06532887326785189	0.02357310071942504	0.10369243420048097	active electrode
C6	0.08165316193008805	0.01969565410623155	0.06948180710557077	active electrode
CP3	-0.06547224097149225	-0.011896599111525148	0.10777792004227077	active electrode
CPz	-0.0015249123600369623	-0.010518376261361682	0.1415491439763013	active electrode
CP4	0.0646962476012671	-0.011991179362648905	0.10771287092399104	active electrode
